,M_atk_dice,N_def_dice,Phr,Ph,Pe,atk_tl,atk_f,def_f,def_num_ev,EV_res,atk_ev,def_ev,pe,ph
47,1,2,[0. 1.],,,False,False,False,2,0.0,0.5,False,[1. 0. 0.],[0.  0.5 0.5]
48,1,3,[0.0494 0.9506],,,True,True,True,0,0.0494,0.9375,True,[0.2441 0.4395 0.2637 0.0527],[0.     0.     0.9375 0.0625]
49,1,3,[0. 1.],,,True,True,True,1,0.0,0.9375,True,[0.0527 0.2637 0.6836 0.    ],[0.     0.     0.9375 0.0625]
50,1,3,[0. 1.],,,True,True,True,2,0.0,0.9375,True,[0.0527 0.9473 0.     0.    ],[0.     0.     0.9375 0.0625]
51,1,3,[0.2289 0.7711],,,True,True,False,0,0.2289,0.9375,False,[0.0527 0.2637 0.4395 0.2441],[0.     0.     0.9375 0.0625]
52,1,3,[0. 1.],,,True,True,False,1,0.0,0.9375,False,[0.0527 0.2637 0.6836 0.    ],[0.     0.     0.9375 0.0625]
53,1,3,[0. 1.],,,True,True,False,2,0.0,0.9375,False,[0.0527 0.9473 0.     0.    ],[0.     0.     0.9375 0.0625]
54,1,3,[0.0396 0.9604],,,False,True,True,0,0.0396,0.75,True,[0.2441 0.4395 0.2637 0.0527],[0.   0.   0.75 0.25]
55,1,3,[0. 1.],,,False,True,True,1,0.0,0.75,True,[0.0527 0.2637 0.6836 0.    ],[0.   0.   0.75 0.25]
56,1,3,[0. 1.],,,False,True,True,2,0.0,0.75,True,[0.0527 0.9473 0.     0.    ],[0.   0.   0.75 0.25]
57,1,3,[0.1831 0.8169],,,False,True,False,0,0.1831,0.75,False,[0.0527 0.2637 0.4395 0.2441],[0.   0.   0.75 0.25]
58,1,3,[0. 1.],,,False,True,False,1,0.0,0.75,False,[0.0527 0.2637 0.6836 0.    ],[0.   0.   0.75 0.25]
59,1,3,[0. 1.],,,False,True,False,2,0.0,0.75,False,[0.0527 0.9473 0.     0.    ],[0.   0.   0.75 0.25]
60,1,3,[0.0396 0.9604],,,True,False,True,0,0.0396,0.75,True,[0.2441 0.4395 0.2637 0.0527],[0.   0.   0.75 0.25]
61,1,3,[0. 1.],,,True,False,True,1,0.0,0.75,True,[0.0527 0.2637 0.6836 0.    ],[0.   0.   0.75 0.25]
62,1,3,[0. 1.],,,True,False,True,2,0.0,0.75,True,[0.0527 0.9473 0.     0.    ],[0.   0.   0.75 0.25]
63,1,3,[0.1831 0.8169],,,True,False,False,0,0.1831,0.75,False,[0.0527 0.2637 0.4395 0.2441],[0.   0.   0.75 0.25]
64,1,3,[0. 1.],,,True,False,False,1,0.0,0.75,False,[0.0527 0.2637 0.6836 0.    ],[0.   0.   0.75 0.25]
